UID          PID    PPID  C STIME TTY          TIME CMD
alexkou+    1195    1174  0 20:56 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 25165838 genmon Generic Monitor Show output of a command.
alexkou+    1196    1174  0 20:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 25165839 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
alexkou+    1197    1174  0 20:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 25165840 notification-plugin Notification Plugin Notification plugin for the Xfce panel
alexkou+    1198    1174  0 20:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 25165841 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
alexkou+    1205    1174  0 20:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 25165842 actions Action Buttons Log out, lock or other system actions
alexkou+    1246     964  0 20:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
alexkou+    1253    1001  0 20:56 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
alexkou+    1278    1001  0 20:56 ?        00:00:00 light-locker
alexkou+    1286    1001  0 20:56 ?        00:00:00 xfce4-power-manager
alexkou+    1314    1001  0 20:56 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
alexkou+    1316       1  0 20:56 ?        00:00:00 xcape -e Super_L Control_L Escape
alexkou+    1326     964  0 20:56 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
alexkou+    1327    1001  0 20:56 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
root        1337       1  0 20:56 ?        00:00:00 /usr/libexec/udisks2/udisksd
alexkou+    1342    1001  0 20:56 ?        00:00:00 nm-applet
alexkou+    1345     964  0 20:56 ?        00:00:00 /usr/libexec/dconf-service
alexkou+    1354    1001  0 20:56 ?        00:00:00 xiccd
alexkou+    1372     964  0 20:56 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
alexkou+    1389     964  0 20:56 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
colord      1390       1  0 20:56 ?        00:00:00 /usr/libexec/colord
alexkou+    1405     964  0 20:56 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
alexkou+    1415     964  0 20:56 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
alexkou+    1442    1143  0 20:56 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
alexkou+    1467     964  0 20:56 ?        00:00:00 /usr/libexec/gvfsd-metadata
alexkou+    1512     964  0 20:56 ?        00:00:00 /usr/libexec/bluetooth/obexd
alexkou+    1647       1  0 20:56 ?        00:00:02 /usr/bin/qterminal
alexkou+    1650    1647  0 20:56 pts/1    00:00:01 /usr/bin/zsh
alexkou+    5204     964  0 21:06 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root        6368       2  0 21:10 ?        00:00:00 [kworker/0:2-ata_sff]
root        6374       2  0 21:10 ?        00:00:00 [kworker/1:3-cgroup_destroy]
root        9308       2  0 21:16 ?        00:00:00 [kworker/0:0-events]
alexkou+    9952    1650  0 21:17 pts/1    00:00:00 ps -ef
